epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.22,0.51986,2.90408,1.07087,0.1247,0.92006,0.13133,0.12757,0.26332,1.92462,1.13404,0.00333022,0.00333022,0.00333022
2,207.962,0.32762,1.75423,0.95034,0.11981,0.80567,0.1565,0.12675,0.27485,2.04949,1.10518,0.00653161,0.00653161,0.00653161
3,315.534,0.33441,1.68369,0.94427,0.22886,0.54425,0.27959,0.25713,0.22432,1.95783,1.09779,0.00960101,0.00960101,0.00960101
4,417.092,0.30105,1.62563,0.93762,0.20994,0.55003,0.29386,0.28783,0.16581,2.2254,1.08789,0.009406,0.009406,0.009406
5,522.01,0.25501,1.57234,0.92231,0.27338,0.55911,0.34465,0.33981,0.16665,2.30597,1.08617,0.009208,0.009208,0.009208
6,622.353,0.22451,1.53427,0.91564,0.31755,0.65896,0.38395,0.37915,0.11882,2.02044,1.06428,0.00901,0.00901,0.00901
7,723.751,0.20798,1.51203,0.91233,0.31566,0.65789,0.39073,0.3882,0.09386,1.59707,1.05922,0.008812,0.008812,0.008812
8,822.945,0.19307,1.49251,0.90996,0.31463,0.66197,0.3879,0.38445,0.1299,1.4867,1.07105,0.008614,0.008614,0.008614
9,922.557,0.18291,1.47745,0.90716,0.27538,0.54953,0.35924,0.33539,0.20369,1.67185,1.08152,0.008416,0.008416,0.008416
10,1021.63,0.174,1.46425,0.90688,0.3193,0.70595,0.45442,0.45227,0.11398,1.22623,1.0607,0.008218,0.008218,0.008218
11,1120.89,0.16634,1.44532,0.90329,0.37501,0.62868,0.42388,0.42118,0.11029,2.86309,1.06744,0.00802,0.00802,0.00802
12,1219.71,0.15892,1.43392,0.90151,0.33659,0.64877,0.46089,0.45864,0.13489,1.46071,1.06626,0.007822,0.007822,0.007822
13,1318.19,0.15547,1.42489,0.90065,0.34633,0.64821,0.4698,0.46156,0.14121,1.54624,1.06833,0.007624,0.007624,0.007624
14,1418.47,0.15189,1.41713,0.90172,0.35717,0.64336,0.47988,0.46985,0.1492,1.39165,1.08504,0.007426,0.007426,0.007426
15,1516.82,0.1501,1.40588,0.90181,0.38822,0.69779,0.51659,0.51361,0.11229,1.29585,1.06332,0.007228,0.007228,0.007228
16,1615.06,0.14428,1.39592,0.90089,0.50919,0.55766,0.49933,0.49343,0.10776,1.55099,1.06084,0.00703,0.00703,0.00703
17,1712.45,0.14163,1.38613,0.89975,0.41088,0.68243,0.53757,0.53123,0.08775,1.16318,1.05336,0.006832,0.006832,0.006832
18,1811.06,0.13872,1.38332,0.89899,0.39104,0.66788,0.5258,0.52126,0.0979,1.18596,1.05382,0.006634,0.006634,0.006634
19,1909.14,0.13595,1.37419,0.89672,0.52931,0.50079,0.47684,0.45653,0.15849,1.77367,1.06875,0.006436,0.006436,0.006436
20,2007.71,0.13399,1.36663,0.89829,0.42981,0.71123,0.5409,0.53766,0.0769,1.83961,1.05051,0.006238,0.006238,0.006238
21,2107.14,0.13151,1.3599,0.89589,0.40506,0.67149,0.53694,0.52276,0.11244,1.31428,1.05758,0.00604,0.00604,0.00604
22,2209.08,0.12752,1.35788,0.89636,0.43732,0.66453,0.55405,0.54391,0.1051,1.17534,1.05592,0.005842,0.005842,0.005842
23,2309.01,0.12471,1.34809,0.89572,0.46373,0.65463,0.57272,0.56107,0.13722,1.20204,1.06403,0.005644,0.005644,0.005644
24,2409.19,0.12468,1.34645,0.89573,0.46528,0.62272,0.5619,0.54329,0.15146,1.26616,1.06294,0.005446,0.005446,0.005446
